epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1282.55,0.85585,0.74288,1.35761,0.9706,0.93596,0.98903,0.79893,0.77074,0.50317,1.35184,0.000391867,0.000391867,0.000391867
43,1312.92,0.84794,0.71625,1.35018,0.96462,0.97575,0.99072,0.8166,0.71253,0.41629,1.31686,0.000389815,0.000389815,0.000389815
44,1343.31,0.85065,0.71009,1.34356,0.9817,0.97899,0.99451,0.81277,0.71964,0.37804,1.32181,0.000387721,0.000387721,0.000387721
45,1373.65,0.83807,0.71457,1.3424,0.97512,0.96462,0.99156,0.8175,0.70084,0.38696,1.28067,0.000385586,0.000385586,0.000385586
46,1403.97,0.85101,0.71606,1.34656,0.96178,0.96344,0.99057,0.79932,0.73994,0.44527,1.34655,0.000383409,0.000383409,0.000383409
47,1434.29,0.83627,0.69964,1.34022,0.95659,0.96357,0.99087,0.8058,0.73556,0.46344,1.35423,0.000381193,0.000381193,0.000381193
48,1464.65,0.82988,0.70603,1.34816,0.97733,0.98672,0.99376,0.81863,0.72007,0.37301,1.30559,0.000378936,0.000378936,0.000378936
49,1495.06,0.84052,0.71135,1.35422,0.96629,0.96745,0.99146,0.82063,0.69813,0.41102,1.28716,0.00037664,0.00037664,0.00037664
50,1525.44,0.80736,0.67411,1.31661,0.91807,0.93236,0.98206,0.79072,0.7576,0.52834,1.3783,0.000374306,0.000374306,0.000374306
51,1555.8,0.81539,0.66248,1.32325,0.98002,0.95029,0.98916,0.76677,0.83393,0.47655,1.44506,0.000371933,0.000371933,0.000371933
52,1586.19,0.83888,0.66668,1.34547,0.96864,0.9788,0.98736,0.83136,0.66592,0.3695,1.24635,0.000369522,0.000369522,0.000369522
53,1616.59,0.8257,0.67782,1.34217,0.93899,0.96459,0.99209,0.82142,0.69542,0.43344,1.27494,0.000367075,0.000367075,0.000367075
54,1646.95,0.8177,0.67902,1.3413,0.97424,0.93271,0.99029,0.81033,0.72592,0.44168,1.30031,0.000364591,0.000364591,0.000364591
55,1677.28,0.80796,0.66134,1.3201,0.97537,0.96465,0.99186,0.80412,0.75082,0.42304,1.34901,0.000362072,0.000362072,0.000362072
56,1707.65,0.83049,0.66678,1.33274,0.97956,0.98822,0.9947,0.83379,0.67363,0.36246,1.25018,0.000359517,0.000359517,0.000359517
57,1738.06,0.80193,0.6564,1.31504,0.9665,0.96658,0.99447,0.83006,0.67583,0.38869,1.25233,0.000356928,0.000356928,0.000356928
58,1768.41,0.81908,0.66396,1.32593,0.9662,0.98083,0.99211,0.82145,0.69672,0.43144,1.2711,0.000354305,0.000354305,0.000354305
59,1798.74,0.80967,0.66997,1.32429,0.95154,0.95232,0.9706,0.80949,0.69297,0.45093,1.27377,0.000351649,0.000351649,0.000351649
60,1829.12,0.81385,0.65847,1.31517,0.97502,0.96979,0.99446,0.81705,0.69872,0.37199,1.29643,0.00034896,0.00034896,0.00034896
61,1859.43,0.79681,0.6498,1.30993,0.97603,0.98474,0.99336,0.82389,0.67734,0.3738,1.26673,0.00034624,0.00034624,0.00034624
62,1889.72,0.79492,0.63991,1.31078,0.94885,0.95292,0.9809,0.78977,0.76702,0.4669,1.38098,0.000343488,0.000343488,0.000343488
63,1920.0,0.787,0.64161,1.30503,0.97182,0.94594,0.98702,0.82066,0.70852,0.45419,1.3082,0.000340706,0.000340706,0.000340706
64,1950.27,0.78158,0.63713,1.30182,0.97463,0.98861,0.9925,0.82028,0.70418,0.38865,1.28917,0.000337893,0.000337893,0.000337893
65,1980.49,0.7762,0.6234,1.30093,0.96125,0.96062,0.99166,0.8208,0.68368,0.42481,1.26178,0.000335052,0.000335052,0.000335052
66,2010.7,0.78915,0.62868,1.3105,0.98421,0.96559,0.99403,0.84106,0.64819,0.38269,1.22175,0.000332182,0.000332182,0.000332182
67,2040.96,0.78449,0.61727,1.30668,0.99157,0.97977,0.995,0.8301,0.67545,0.34831,1.26545,0.000329284,0.000329284,0.000329284
68,2071.17,0.77471,0.61236,1.29959,0.96625,0.97741,0.98621,0.82762,0.64697,0.39527,1.2283,0.00032636,0.00032636,0.00032636
69,2101.36,0.78361,0.63659,1.30621,0.99081,0.9834,0.99495,0.81454,0.7155,0.35571,1.32189,0.000323409,0.000323409,0.000323409
70,2131.6,0.77933,0.62131,1.29641,0.93571,0.96276,0.98362,0.81225,0.68111,0.45189,1.25892,0.000320432,0.000320432,0.000320432
71,2161.82,0.76274,0.61704,1.28833,0.96711,0.95662,0.98499,0.80656,0.70425,0.44525,1.3167,0.000317431,0.000317431,0.000317431
72,2192.06,0.77327,0.61781,1.29497,0.98478,0.96321,0.9914,0.826,0.68809,0.38639,1.26526,0.000314405,0.000314405,0.000314405
73,2222.29,0.76016,0.61042,1.29208,0.98602,0.95797,0.99139,0.8291,0.67422,0.38881,1.25982,0.000311356,0.000311356,0.000311356
74,2252.52,0.76542,0.59824,1.28277,0.97222,0.96645,0.99127,0.81213,0.73654,0.39364,1.34642,0.000308284,0.000308284,0.000308284
75,2282.73,0.7541,0.60761,1.29558,0.98268,0.96422,0.98861,0.81796,0.7152,0.42488,1.3289,0.000305191,0.000305191,0.000305191
76,2312.97,0.76395,0.60836,1.28517,0.96446,0.96576,0.9868,0.83218,0.64384,0.388,1.22642,0.000302076,0.000302076,0.000302076
77,2343.19,0.75369,0.59835,1.28785,0.98113,0.95821,0.99401,0.84066,0.64946,0.37227,1.23068,0.000298941,0.000298941,0.000298941
78,2373.45,0.75221,0.61458,1.29189,0.99004,0.97821,0.9937,0.83281,0.65354,0.35781,1.24967,0.000295787,0.000295787,0.000295787
79,2403.67,0.76621,0.61157,1.29502,0.97569,0.98317,0.9946,0.83437,0.67046,0.37185,1.2513,0.000292614,0.000292614,0.000292614
80,2433.91,0.75533,0.59497,1.28036,0.95485,0.9643,0.98385,0.82084,0.65645,0.40206,1.22912,0.000289423,0.000289423,0.000289423
81,2464.16,0.7478,0.58673,1.2747,0.97706,0.9849,0.99326,0.84655,0.64519,0.34959,1.22169,0.000286214,0.000286214,0.000286214
82,2494.44,0.74247,0.58249,1.26823,0.96185,0.97051,0.98995,0.83188,0.64882,0.37432,1.2274,0.000282989,0.000282989,0.000282989
83,2524.7,0.751,0.5728,1.27935,0.97701,0.96798,0.99433,0.83733,0.66787,0.36903,1.24801,0.000279749,0.000279749,0.000279749
84,2555.0,0.76776,0.58531,1.28641,0.97151,0.96691,0.99018,0.83648,0.64838,0.40764,1.22104,0.000276493,0.000276493,0.000276493
85,2585.31,0.75453,0.58413,1.27662,0.98176,0.96017,0.99428,0.84326,0.63692,0.37045,1.21543,0.000273224,0.000273224,0.000273224
86,2615.62,0.74145,0.56938,1.26599,0.9724,0.98392,0.99086,0.83049,0.67516,0.36935,1.26,0.000269942,0.000269942,0.000269942
87,2645.91,0.73303,0.56551,1.26277,0.97693,0.97412,0.99384,0.81977,0.69632,0.40047,1.29129,0.000266647,0.000266647,0.000266647
88,2676.18,0.74031,0.57542,1.2712,0.97792,0.96886,0.98987,0.82953,0.66277,0.37656,1.2536,0.00026334,0.00026334,0.00026334
89,2706.45,0.7186,0.57503,1.2619,0.9844,0.96968,0.99467,0.8345,0.67264,0.34872,1.25192,0.000260023,0.000260023,0.000260023
90,2736.67,0.72476,0.55846,1.26201,0.9823,0.97171,0.99388,0.83428,0.65955,0.37146,1.24697,0.000256696,0.000256696,0.000256696
91,2766.89,0.73449,0.55748,1.26762,0.97234,0.97266,0.99052,0.83083,0.66485,0.39106,1.23329,0.000253359,0.000253359,0.000253359
92,2797.16,0.74299,0.5564,1.27008,0.93475,0.96379,0.98553,0.82024,0.69517,0.48124,1.30615,0.000250015,0.000250015,0.000250015
93,2827.39,0.72737,0.55788,1.2631,0.95242,0.97703,0.99094,0.83671,0.6533,0.387,1.2176,0.000246662,0.000246662,0.000246662
94,2857.65,0.7259,0.56179,1.26107,0.97883,0.9682,0.98972,0.84086,0.64965,0.37467,1.2135,0.000243304,0.000243304,0.000243304
95,2887.93,0.71845,0.5548,1.24984,0.97257,0.9863,0.99461,0.84385,0.64305,0.35687,1.22126,0.000239939,0.000239939,0.000239939
96,2918.19,0.72412,0.55938,1.25787,0.97621,0.96123,0.98476,0.82443,0.66426,0.38716,1.24297,0.000236569,0.000236569,0.000236569
97,2948.45,0.71805,0.53967,1.25527,0.92346,0.9708,0.99039,0.82995,0.66554,0.43847,1.25143,0.000233195,0.000233195,0.000233195
98,2978.71,0.70318,0.53288,1.24401,0.95134,0.96687,0.9799,0.82477,0.6589,0.41971,1.23923,0.000229818,0.000229818,0.000229818
99,3008.96,0.72017,0.54958,1.25392,0.95843,0.97372,0.97908,0.83093,0.63152,0.39892,1.20193,0.000226439,0.000226439,0.000226439
100,3039.24,0.70022,0.53853,1.23796,0.96811,0.96471,0.98381,0.83848,0.62344,0.36863,1.18793,0.000223057,0.000223057,0.000223057
101,3069.51,0.70925,0.55943,1.24567,0.95105,0.96983,0.98389,0.8207,0.66396,0.38399,1.24059,0.000219675,0.000219675,0.000219675
102,3099.77,0.70492,0.54931,1.24765,0.97559,0.96744,0.9894,0.84484,0.62072,0.36217,1.18603,0.000216293,0.000216293,0.000216293
103,3130.03,0.70189,0.5382,1.24767,0.98485,0.97931,0.99495,0.82829,0.65956,0.33865,1.23678,0.000212911,0.000212911,0.000212911
104,3160.29,0.6869,0.50744,1.23213,0.97201,0.9734,0.99039,0.83034,0.66538,0.37283,1.24171,0.000209532,0.000209532,0.000209532
105,3190.55,0.68984,0.52182,1.23962,0.95588,0.96962,0.98477,0.83467,0.64694,0.39303,1.21733,0.000206155,0.000206155,0.000206155
106,3220.8,0.68548,0.52516,1.22689,0.95549,0.97637,0.99174,0.841,0.63584,0.37994,1.21156,0.000202781,0.000202781,0.000202781
107,3251.06,0.69404,0.52753,1.23571,0.95455,0.95899,0.98921,0.83368,0.65488,0.42049,1.2328,0.000199411,0.000199411,0.000199411
108,3281.34,0.69755,0.54171,1.24382,0.96178,0.99147,0.99413,0.84311,0.64989,0.33732,1.21792,0.000196046,0.000196046,0.000196046
109,3311.59,0.68564,0.51114,1.2357,0.97115,0.98486,0.99384,0.84547,0.62112,0.32838,1.19458,0.000192688,0.000192688,0.000192688
110,3341.85,0.67738,0.50693,1.22905,0.98889,0.96985,0.99348,0.84049,0.64013,0.33408,1.2094,0.000189335,0.000189335,0.000189335
111,3372.11,0.70534,0.53368,1.24774,0.98429,0.98698,0.99455,0.85716,0.59981,0.29232,1.14917,0.000185991,0.000185991,0.000185991
112,3402.42,0.69113,0.52331,1.23721,0.97106,0.97895,0.99069,0.83887,0.63719,0.36071,1.20467,0.000182654,0.000182654,0.000182654
113,3432.7,0.69241,0.51737,1.23467,0.97777,0.97684,0.99295,0.83586,0.65674,0.34497,1.24029,0.000179327,0.000179327,0.000179327
114,3462.97,0.66858,0.48442,1.21489,0.9852,0.97656,0.9939,0.84055,0.6494,0.33228,1.22979,0.00017601,0.00017601,0.00017601
115,3493.28,0.6919,0.52806,1.23842,0.99077,0.98885,0.99491,0.8464,0.65587,0.32,1.23587,0.000172703,0.000172703,0.000172703
116,3523.54,0.67337,0.49264,1.2183,0.98221,0.97962,0.9935,0.85096,0.61561,0.3161,1.17617,0.000169408,0.000169408,0.000169408
117,3553.8,0.67508,0.51684,1.22353,0.97052,0.98055,0.99272,0.84657,0.62934,0.32113,1.19876,0.000166126,0.000166126,0.000166126
118,3584.05,0.68013,0.5084,1.23395,0.97145,0.97387,0.99264,0.85096,0.60337,0.32164,1.15883,0.000162857,0.000162857,0.000162857
119,3614.31,0.67522,0.50228,1.21534,0.96306,0.97733,0.99168,0.83141,0.6677,0.35077,1.25649,0.000159601,0.000159601,0.000159601
120,3644.59,0.66375,0.48781,1.21942,0.96639,0.98191,0.98499,0.82465,0.67266,0.36224,1.25777,0.000156361,0.000156361,0.000156361
121,3674.86,0.67089,0.49951,1.22184,0.9721,0.9827,0.99383,0.83907,0.65531,0.33044,1.24487,0.000153136,0.000153136,0.000153136
122,3705.12,0.65813,0.49087,1.21018,0.97916,0.98198,0.99449,0.83322,0.6553,0.31854,1.22087,0.000149927,0.000149927,0.000149927
123,3735.42,0.66724,0.48228,1.20557,0.9589,0.96686,0.98854,0.8435,0.61033,0.37747,1.17028,0.000146736,0.000146736,0.000146736
124,3765.69,0.6721,0.4997,1.22308,0.95149,0.9787,0.98848,0.83983,0.62433,0.38111,1.18668,0.000143563,0.000143563,0.000143563
125,3795.97,0.66686,0.48588,1.21685,0.97431,0.99002,0.99462,0.86164,0.59596,0.31325,1.15473,0.000140409,0.000140409,0.000140409
126,3826.24,0.65356,0.46849,1.21176,0.97799,0.96944,0.99253,0.86502,0.57742,0.33584,1.13232,0.000137274,0.000137274,0.000137274
127,3856.53,0.66281,0.48759,1.21313,0.98674,0.98759,0.995,0.85649,0.59273,0.29411,1.14783,0.000134159,0.000134159,0.000134159
