epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4162,1.35196,8.19079,0.03534,0.23178,0.20337,0.16057,0.10761,1.07385,9.94215,0.04057,0.000143606,0.000143606,0.000143606
2,76.8416,1.17397,3.53627,0.0296,0.62491,0.65886,0.70514,0.48704,1.11527,3.81201,0.04089,0.000288588,0.000288588,0.000288588
3,112.112,1.23875,2.24253,0.03186,0.77345,0.79986,0.88244,0.64135,1.03056,2.08083,0.03872,0.0004335,0.0004335,0.0004335
4,147.31,1.20641,1.85705,0.03081,0.78174,0.80108,0.8869,0.66649,0.94524,1.35013,0.03445,0.000434761,0.000434761,0.000434761
5,182.5,1.20429,1.60665,0.03106,0.85643,0.83427,0.92234,0.70461,0.95056,1.14116,0.03604,0.000434575,0.000434575,0.000434575
6,217.715,1.1673,1.45104,0.02972,0.86907,0.8857,0.95799,0.74409,0.89058,0.91799,0.03335,0.000434336,0.000434336,0.000434336
7,252.905,1.14257,1.37154,0.02907,0.854,0.83392,0.93664,0.7328,0.85462,0.98271,0.03189,0.000434044,0.000434044,0.000434044
8,289.728,1.16926,1.32644,0.02994,0.91875,0.86235,0.95969,0.72373,0.93957,0.82658,0.03522,0.0004337,0.0004337,0.0004337
9,327.316,1.12854,1.26273,0.02858,0.93864,0.8583,0.95989,0.7623,0.83266,0.64826,0.03127,0.000433302,0.000433302,0.000433302
10,364.938,1.11186,1.26563,0.02818,0.92097,0.88188,0.97192,0.75043,0.87662,0.60428,0.03312,0.000432852,0.000432852,0.000432852
11,402.502,1.08614,1.13899,0.0273,0.8835,0.9239,0.98065,0.76618,0.86435,0.59453,0.03159,0.000432349,0.000432349,0.000432349
12,440.149,1.13062,1.17984,0.02868,0.92812,0.92035,0.96897,0.72761,0.97532,0.56353,0.03775,0.000431794,0.000431794,0.000431794
13,477.735,1.09466,1.1613,0.02787,0.94077,0.90208,0.97454,0.79038,0.75204,0.53247,0.02713,0.000431186,0.000431186,0.000431186
