epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4094,1.4103,2.97923,1.89544,0.75811,0.71595,0.82918,0.55411,1.07884,2.22687,1.79342,0.000144303,0.000144303,0.000144303
2,98.1535,1.28363,1.76158,1.73021,0.75939,0.75616,0.83432,0.55246,1.18512,1.60514,1.8898,0.000289285,0.000289285,0.000289285
3,144.697,1.25353,1.57578,1.71101,0.79763,0.84144,0.87615,0.61664,1.06568,1.08287,1.74586,0.000434197,0.000434197,0.000434197
4,191.241,1.21654,1.54624,1.67602,0.77735,0.83483,0.89359,0.61893,1.04088,1.18644,1.75869,0.000434761,0.000434761,0.000434761
5,237.829,1.18291,1.4221,1.64189,0.85685,0.90972,0.93802,0.66583,1.04482,0.79184,1.67747,0.000434575,0.000434575,0.000434575
6,284.381,1.17432,1.40501,1.63352,0.90276,0.89838,0.95335,0.69728,1.00951,0.74784,1.71688,0.000434336,0.000434336,0.000434336
7,330.903,1.12728,1.28437,1.58842,0.82628,0.87971,0.94093,0.68581,0.97648,0.82561,1.68955,0.000434044,0.000434044,0.000434044
8,377.467,1.10907,1.25522,1.57313,0.80916,0.90573,0.9308,0.70043,0.89571,0.7497,1.58329,0.0004337,0.0004337,0.0004337
9,424.081,1.11813,1.24015,1.58258,0.87895,0.90503,0.95324,0.70394,0.94034,0.78211,1.63643,0.000433302,0.000433302,0.000433302
10,470.641,1.0923,1.17604,1.57251,0.90977,0.95491,0.97255,0.73778,0.87008,0.5594,1.54794,0.000432852,0.000432852,0.000432852
11,517.208,1.07373,1.1535,1.54123,0.95935,0.90384,0.96776,0.75494,0.83713,0.64118,1.49529,0.000432349,0.000432349,0.000432349
12,563.776,1.06456,1.1326,1.54857,0.91419,0.86984,0.95119,0.70067,0.94995,0.71566,1.57393,0.000431794,0.000431794,0.000431794
13,610.287,1.04088,1.08561,1.52324,0.96277,0.94348,0.98195,0.78455,0.80077,0.50352,1.45581,0.000431186,0.000431186,0.000431186
14,656.818,1.02701,1.04431,1.50744,0.94075,0.93494,0.98029,0.73425,0.89688,0.54356,1.51966,0.000430526,0.000430526,0.000430526
15,703.388,1.03375,1.05161,1.51386,0.9166,0.87892,0.97286,0.75433,0.84327,0.62141,1.50318,0.000429814,0.000429814,0.000429814
16,749.927,1.01055,0.99379,1.4918,0.94852,0.93949,0.98019,0.78066,0.79905,0.52496,1.44055,0.000429051,0.000429051,0.000429051
17,796.442,1.0068,0.99692,1.49846,0.93582,0.94993,0.97949,0.77011,0.81651,0.5245,1.44213,0.000428235,0.000428235,0.000428235
18,842.935,0.9884,0.96762,1.47923,0.94953,0.96176,0.98493,0.76746,0.84277,0.52613,1.48234,0.000427368,0.000427368,0.000427368
19,889.498,0.99189,0.954,1.47744,0.94655,0.95497,0.97583,0.7639,0.81816,0.4821,1.48116,0.00042645,0.00042645,0.00042645
20,936.071,0.97497,0.95297,1.4669,0.90396,0.94747,0.97735,0.76422,0.80349,0.513,1.44596,0.000425481,0.000425481,0.000425481
21,982.573,0.97668,0.93853,1.46518,0.97521,0.97033,0.99066,0.76971,0.85292,0.44825,1.52764,0.000424461,0.000424461,0.000424461
22,1029.2,0.97098,0.94975,1.46598,0.95155,0.95929,0.99264,0.79586,0.77933,0.48181,1.40509,0.000423391,0.000423391,0.000423391
23,1075.76,0.94993,0.90635,1.44086,0.94693,0.94255,0.9914,0.79166,0.77579,0.46605,1.40605,0.00042227,0.00042227,0.00042227
24,1122.3,0.95957,0.87881,1.44745,0.94981,0.94229,0.9855,0.7938,0.757,0.48185,1.38773,0.000421099,0.000421099,0.000421099
25,1168.87,0.96366,0.8788,1.45051,0.88659,0.93798,0.97955,0.77623,0.79864,0.57659,1.4125,0.000419879,0.000419879,0.000419879
26,1215.41,0.93945,0.87127,1.42584,0.96116,0.93929,0.98518,0.7949,0.75082,0.49054,1.40978,0.000418609,0.000418609,0.000418609
27,1261.99,0.93473,0.86931,1.43201,0.94502,0.91671,0.94398,0.74349,0.81807,0.5716,1.47584,0.000417291,0.000417291,0.000417291
28,1308.49,0.92302,0.86086,1.41879,0.97144,0.97232,0.9919,0.81529,0.71135,0.40284,1.32055,0.000415923,0.000415923,0.000415923
29,1355.1,0.89746,0.84625,1.40751,0.98528,0.95913,0.9897,0.7937,0.77143,0.43038,1.38444,0.000414507,0.000414507,0.000414507
30,1401.64,0.94199,0.83872,1.42567,0.96861,0.9697,0.99246,0.80753,0.7379,0.40239,1.35934,0.000413043,0.000413043,0.000413043
31,1448.21,0.91847,0.82351,1.41775,0.98169,0.97091,0.99032,0.80392,0.73095,0.40253,1.31072,0.000411531,0.000411531,0.000411531
32,1494.78,0.91394,0.82863,1.4105,0.96782,0.97672,0.9907,0.81311,0.71387,0.40499,1.3022,0.000409972,0.000409972,0.000409972
33,1541.36,0.90433,0.82702,1.40801,0.97164,0.97506,0.99394,0.81883,0.72615,0.40302,1.33715,0.000408366,0.000408366,0.000408366
34,1587.99,0.90338,0.81359,1.41373,0.97841,0.98781,0.99466,0.79992,0.75161,0.40514,1.38711,0.000406713,0.000406713,0.000406713
35,1634.46,0.90521,0.79835,1.40621,0.95268,0.96828,0.98072,0.77759,0.76929,0.40871,1.36462,0.000405014,0.000405014,0.000405014
36,1681.02,0.90703,0.78449,1.39756,0.97722,0.97474,0.9907,0.7993,0.73974,0.39867,1.35659,0.00040327,0.00040327,0.00040327
37,1727.48,0.87163,0.75574,1.38459,0.96309,0.94822,0.99349,0.8218,0.69366,0.4375,1.28849,0.00040148,0.00040148,0.00040148
38,1774.08,0.88276,0.77828,1.38277,0.98802,0.98333,0.99431,0.80989,0.71246,0.36427,1.32029,0.000399645,0.000399645,0.000399645
39,1820.6,0.88078,0.75927,1.37976,0.94778,0.98541,0.99477,0.83014,0.68228,0.39328,1.27181,0.000397766,0.000397766,0.000397766
40,1867.09,0.86267,0.76715,1.37844,0.99082,0.9586,0.99242,0.81373,0.70807,0.4056,1.31205,0.000395843,0.000395843,0.000395843
41,1913.68,0.87816,0.72784,1.37977,0.98049,0.99038,0.99474,0.80743,0.72108,0.39129,1.33039,0.000393877,0.000393877,0.000393877
42,1960.24,0.87738,0.74804,1.38149,0.98316,0.97946,0.99431,0.81392,0.69948,0.37571,1.29507,0.000391867,0.000391867,0.000391867
43,2006.78,0.87856,0.74621,1.37986,0.97141,0.93425,0.99435,0.82383,0.67345,0.44321,1.27054,0.000389815,0.000389815,0.000389815
44,2053.31,0.8391,0.72307,1.35325,0.97087,0.97672,0.99377,0.83461,0.65894,0.37688,1.24533,0.000387721,0.000387721,0.000387721
45,2099.94,0.85555,0.73765,1.36408,0.97431,0.97828,0.99354,0.82557,0.68853,0.37289,1.29173,0.000385586,0.000385586,0.000385586
46,2146.48,0.84816,0.72663,1.34951,0.96932,0.94669,0.99357,0.82757,0.68794,0.4275,1.29111,0.000383409,0.000383409,0.000383409
47,2193.06,0.83977,0.71679,1.35475,0.98162,0.9678,0.99205,0.81318,0.71491,0.38329,1.30995,0.000381193,0.000381193,0.000381193
48,2239.61,0.84883,0.73086,1.36608,0.97826,0.95931,0.99298,0.82715,0.67644,0.36832,1.2757,0.000378936,0.000378936,0.000378936
49,2286.18,0.85479,0.72662,1.37469,0.98607,0.98434,0.99491,0.82234,0.69206,0.35413,1.28096,0.00037664,0.00037664,0.00037664
50,2332.76,0.82835,0.6949,1.34175,0.96381,0.96858,0.99232,0.81871,0.69053,0.38476,1.28372,0.000374306,0.000374306,0.000374306
51,2379.27,0.81287,0.67164,1.32699,0.96363,0.97245,0.99334,0.83252,0.64094,0.3638,1.213,0.000371933,0.000371933,0.000371933
52,2425.83,0.81388,0.69061,1.34174,0.96799,0.97151,0.98977,0.80826,0.70566,0.39246,1.3111,0.000369522,0.000369522,0.000369522
53,2472.33,0.82835,0.69495,1.35233,0.9411,0.95434,0.98288,0.81993,0.66313,0.42062,1.24466,0.000367075,0.000367075,0.000367075
54,2518.83,0.83704,0.69223,1.36331,0.92453,0.93858,0.97647,0.8138,0.67122,0.46303,1.25215,0.000364591,0.000364591,0.000364591
55,2565.38,0.82039,0.67139,1.33232,0.97265,0.97524,0.9853,0.81822,0.66323,0.39968,1.25774,0.000362072,0.000362072,0.000362072
56,2611.97,0.82779,0.68234,1.33711,0.9731,0.98038,0.99384,0.83521,0.64632,0.36672,1.23023,0.000359517,0.000359517,0.000359517
57,2658.61,0.81165,0.68761,1.3382,0.98417,0.98781,0.99484,0.82797,0.67814,0.34386,1.25514,0.000356928,0.000356928,0.000356928
58,2705.15,0.82058,0.69402,1.33779,0.97142,0.97255,0.99201,0.83199,0.68327,0.38248,1.27602,0.000354305,0.000354305,0.000354305
59,2751.7,0.81422,0.68898,1.34636,0.95028,0.95465,0.97914,0.81427,0.66275,0.40231,1.24505,0.000351649,0.000351649,0.000351649
60,2798.24,0.81156,0.66491,1.33041,0.97314,0.99438,0.995,0.83855,0.67115,0.33139,1.265,0.00034896,0.00034896,0.00034896
61,2844.84,0.81231,0.65424,1.33395,0.96997,0.96824,0.98811,0.81179,0.71589,0.37957,1.31528,0.00034624,0.00034624,0.00034624
62,2891.47,0.78695,0.64868,1.31166,0.98923,0.99132,0.99494,0.83477,0.65559,0.31744,1.23926,0.000343488,0.000343488,0.000343488
63,2938.03,0.79934,0.65317,1.32202,0.97848,0.97554,0.99471,0.84975,0.62366,0.34519,1.20811,0.000340706,0.000340706,0.000340706
64,2984.55,0.79717,0.65822,1.31528,0.98065,0.98486,0.99484,0.83041,0.66715,0.33616,1.26096,0.000337893,0.000337893,0.000337893
